title,release_date,genre,score
NBA Live 07,2006-10-02,Sports,4.9
ParaWorld,2006-09-28,Strategy,7.8
Reservoir Dogs,2006-10-24,Action,3.0
F.E.A.R. Extraction Point,2006-10-24,Shooter,7.6
Backyard Baseball 2007,2006-10-16,Sports,2.0
Ford Bold Moves Street Racing,2006-10-23,Racing,3.5
JAWS Unleashed,2006-10-23,Action,6.1
Battlefield 2142,2006-10-20,Shooter,8.4
First Battalion,2006-10-13,Action,6.5
Mage Knight: Apocalypse,2006-10-12,"Action, RPG",5.4
The Grim Adventures of Billy & Mandy,2006-10-18,Fighting,7.2
GTR 2,2006-10-18,"Racing, Simulation",9.2
Sam & Max: Season One -- Episode #1: Culture Shock,2006-10-17,Adventure,8.7
Neverwinter Nights 2,2006-11-03,RPG,8.5
1701 A.D.,2006-10-30,Simulation,8.2
Desperate Housewives: The Game,2006-11-08,Simulation,8.2
Need for Speed Carbon,2006-10-27,Racing,8.2
Strategic Command 2: Blitzkrieg,2006-11-03,Strategy,5.9
Guild Wars: Nightfall,2006-11-09,RPG,8.4
The Sims 2: Pets,2006-10-26,Simulation,7.4
Marvel: Ultimate Alliance,2006-10-25,"Action, RPG",8.2
Cabela's African Safari,2006-11-14,Hunting,7.3
Phantasy Star Universe,2006-11-14,RPG,5.5
Left Behind: Eternal Forces,2006-11-14,Strategy,5.9
Eragon,2006-11-21,Adventure,4.6
Devil May Cry 3: Dante's Awakening,2006-11-22,Action,5.8
The History Channel -- Civil War: A Nation Divided,2006-12-01,Shooter,5.0
Wildlife Zoo,2006-12-06,Simulation,6.1
The Last Ritual,2006-12-04,Adventure,8.1
Sonic Riders,2006-12-12,"Racing, Action",4.2
Happy Feet,2006-12-11,Adventure,4.5
Harley-Davidson: Race to the Rally,2006-12-15,Racing,5.0
Flyboys Squadron,2006-12-14,Shooter,6.6
Sam & Max: Season One -- Episode #2: Situation: Comedy,2007-01-03,Adventure,7.8
The Shield,2007-01-30,Action,2.1
World of Warcraft: The Burning Crusade,2007-01-30,RPG,8.8
Deal or No Deal,2007-02-15,Trivia,3.1
Starshatter: The Gathering Storm,2007-02-09,"Flight, Simulation",7.0
"Sam & Max: Season One -- Episode #3: The Mole, the Mob and the Meatball",2007-02-05,Adventure,6.6
The Sims: Life Stories,2007-03-01,Simulation,7.3
Gary Grigsby's World At War: A World Divided,2007-02-22,Strategy,7.9
War Front: Turning Point,2007-02-27,Strategy,7.8
Myst Online: Uru Live,2007-03-05,Adventure,7.6
Sam & Max: Season One -- Episode #4: Abe Lincoln Must Die!,2007-03-02,Adventure,8.0
Titan Quest: Immortal Throne,2007-03-16,"Action, RPG",7.8
TMNT,2007-03-21,Action,6.0
SpaceStationSim,2007-03-20,Simulation,4.5
The Sims 2: Seasons,2007-03-20,Simulation,8.9
Tortuga: Two Treasures,2007-03-27,"Action, Adventure",5.0
Sam & Max: Season One -- Episode #5: Reality 2.0,2007-03-29,Adventure,8.2
Meet The Robinsons,2007-03-27,Action,7.0
Sam & Max: Season One -- Episode #6: Bright Side of The Moon,2007-04-26,Adventure,8.1
For Liberty!,2007-04-13,Strategy,6.5
Backyard Basketball 2007,2007-04-10,Sports,2.5
Test Drive Unlimited,2007-04-03,Racing,8.0
Blitzkrieg II: Fall of the Reich,2007-04-03,Strategy,6.0
Theatre of War [2007],2007-05-16,Strategy,7.0
Ancient Wars: Sparta,2007-05-04,Strategy,6.0
CellFactor: Revolution,2007-05-23,Shooter,5.2
Shrek the Third,2007-05-21,Action,6.0
Top Spin 2,2007-06-18,Sports,7.0
Marine Sharpshooter III,2007-06-08,Shooter,3.5
Halo 2,2007-06-05,Shooter,7.5
Made Man,2007-06-05,"Action, Adventure",2.4
Dirt,2007-06-29,Racing,8.4
Harry Potter and the Order of the Phoenix,2007-06-28,Adventure,7.3
