title,release_date,genre,developer,publisher,required_age,critic_score,critic_score_phrase,average_playtime,median_playtime,owners,price
Delta Force: Xtreme 2,2009-06-12,Shooter,NovaLogic,NovaLogic;THQ Nordic,0,4.8,Bad,0,0,10000,14.99
Delta Force: Xtreme 2,2009-06-12,Shooter,NovaLogic,NovaLogic;THQ Nordic,0,4.8,Bad,0,0,35000,0.0
Yosumin!,2009-06-22,Puzzle,Square Enix,Square Enix,0,7.1,Good,0,0,150000,3.99
Light of Altair,2009-06-16,Simulation,SaintXi,SaintXi,0,7.0,Good,0,0,35000,11.99
Overlord II,2009-06-25,Adventure,Triumph Studios;Virtual Programming,Codemasters,0,6.3,Okay,197,119,1500000,6.99
Blueberry Garden,2009-06-25,Other,Erik Svedäng,Erik Svedäng,0,6.0,Okay,9,9,35000,3.99
America's Army 3,2009-07-02,Shooter,U.S. Army,U.S. Army,0,8.4,Great,12,13,750000,0.0
Nancy Drew: Ransom of the Seven Ships,2009-07-20,Adventure,HeR Interactive,HeR Interactive,0,7.3,Good,0,0,10000,5.19
Nancy Drew: Ransom of the Seven Ships,2009-07-20,Adventure,HeR Interactive,HeR Interactive,0,7.3,Good,0,0,10000,5.19
Nancy Drew: Ransom of the Seven Ships,2009-07-20,Adventure,HeR Interactive,HeR Interactive,0,7.3,Good,0,0,10000,5.19
Nancy Drew: Ransom of the Seven Ships,2009-07-20,Adventure,HeR Interactive,HeR Interactive,0,7.3,Good,0,0,10000,5.19
Nancy Drew: Ransom of the Seven Ships,2009-07-20,Adventure,HeR Interactive,HeR Interactive,0,7.3,Good,0,0,10000,5.19
Nancy Drew: Ransom of the Seven Ships,2009-07-20,Adventure,HeR Interactive,HeR Interactive,0,7.3,Good,0,0,10000,5.19
Call of Juarez: Bound in Blood,2009-06-30,Shooter,Techland,Ubisoft,0,7.7,Good,13,13,350000,8.59
The Secret of Monkey Island: Special Edition,2009-07-15,Adventure,LucasArts,LucasArts;Lucasfilm;Disney Interactive,0,8.7,Great,58,94,750000,7.19
