title,release_date,genre,critic_score,critic_score_phrase,developer,publisher,required_age,average_playtime,median_playtime,owners,price,main_story,main_extra,completionist,all_styles
Prison Architect,2015-10-06,Strategy,8.3,Great,Introversion Software,Paradox Interactive,0,1472,717,3500000,23.79,17.13,43.46,67.76,30.73
Pro Evolution Soccer 2013,2012-09-17,Sports,8.5,Great,Konami Digital Entertainment,Konami Digital Entertainment,0,0,0,350000,24.99,74.99,81.58,88.75,77.9
Pro Evolution Soccer 2014,2013-09-18,Sports,8.4,Great,Konami Digital Entertainment,Konami Digital Entertainment,0,0,0,350000,24.99,19.95,53.12,632.5,79.27
Pro Evolution Soccer 2015,2014-11-14,Sports,9.0,Amazing,Konami Digital Entertainment,Konami Digital Entertainment,0,0,0,350000,24.99,47.47,121.12,186.25,81.74
Project: Snowblind,2005-03-31,Shooter,8.0,Great,Crystal Dynamics,Square Enix,0,0,0,75000,3.99,5.74,5.77,6.36,5.79
Project CARS,2015-05-06,Racing,8.9,Great,Slightly Mad Studios,Slightly Mad Studios;BANDAI NAMCO Entertainment,0,232,282,1500000,23.39,33.15,66.26,122.31,47.45
Project Highrise,2016-09-09,Simulation,7.0,Good,SomaSim,Kasedo Games,0,224,351,350000,14.99,9.95,21.28,43.69,16.81
Proteus,2013-02-08,Adventure,8.5,Great,Ed Key and David Kanaga,Twisted Tree,0,36,48,350000,6.99,1.05,1.13,1.15,1.06
Prototype,2009-06-10,Action,7.5,Good,Radical Entertainment,Activision,0,645,1001,750000,14.99,11.03,16.52,32.2,14.2
Proun,2011-07-18,Racing,8.0,Great,Dave Catling,Dave Catling,0,0,0,35000,0.0,0.5,4.0,0.0,2.25
Psychonauts,2005-05-02,Platformer,8.7,Great,Double Fine Productions,Double Fine Productions,0,491,232,3500000,6.99,12.01,15.26,21.52,14.8
Punch Club,2016-01-15,"Fighting,Simulation",6.5,Okay,Lazy Bear Games,tinyBuild,0,478,378,750000,6.99,10.72,13.52,24.14,13.41
Puzzle Agent,2010-07-01,Adventure,6.0,Okay,Telltale Games,Telltale Games,0,69,110,750000,3.99,3.4,3.62,4.09,3.72
Puzzle Quest: Galactrix,2009-03-02,Puzzle,8.5,Great,Infinite Interactive,"D3Publisher of America, Inc.",0,0,0,35000,6.99,14.97,20.17,21.39,19.99
Quadrilateral Cowboy,2016-07-28,Puzzle,8.5,Great,Blendo Games,Blendo Games,0,316,316,75000,14.99,4.73,5.69,5.74,5.16
Quantum Conundrum,2012-06-21,Puzzle,8.0,Great,Airtight Games,Square Enix,0,162,220,350000,6.99,6.26,8.36,16.29,7.16
QUBE,2012-01-10,Puzzle,6.5,Okay,Toxic Games,Toxic Games,0,63,76,350000,6.99,3.32,4.09,4.13,3.59
RACE 07,2007-11-07,Racing,8.5,Great,SimBin,SimBin,0,1636,218,1500000,2.49,6.55,21.77,0.0,9.19
Rage,2011-10-04,Shooter,8.5,Great,id Software,Bethesda Softworks,16,559,392,1500000,7.99,11.14,15.49,23.64,14.32
Railroad Tycoon 3,2003-11-06,Simulation,8.8,Great,PopTop,2K,0,46,46,350000,5.99,26.17,37.34,38.0,30.97
